feature_idx,feature_name,importance_male,importance_female,delta,p_value,q_value_bh,significant
236,V2_T_amp,-0.00457516339869282,-0.009523809523809552,0.004948646125116732,0.031432798093519454,0.12483311242854868,False
229,V2_JJ_amp,0.0,-0.004761904761904778,0.004761904761904778,0.001425827417902561,0.008257917128685666,True
228,V1_QRSTA,0.0,-0.0047619047619047745,0.0047619047619047745,0.004597667468372032,0.022423711512410963,True
14,Heart_rate,-1.295260195396016e-17,-0.004761904761904778,0.004761904761904765,0.14403572396480344,0.4128034150743851,False
181,DIII_R_amp,-0.00457516339869282,0.0,-0.00457516339869282,0.005912950806161398,0.02739667206854781,True
17,DI_S_wid,-0.0013071895424836629,0.0031746031746031486,-0.004481792717086812,0.04138909587241182,0.15080602689244527,False
233,V2_Rp_amp,-0.0032679738562091574,0.0010582010582010544,-0.004326174914410212,0.0074601110320106365,0.03345017527256382,True
52,AVR_R_wid,0.0,-0.004232804232804263,0.004232804232804263,0.04339741781077435,0.15080602689244527,False
238,V2_QRSTA,0.0,-0.004232804232804247,0.004232804232804247,0.0029392910958459225,0.014856780448093935,True
246,V3_T_amp,-0.005882352941176483,-0.010052910052910088,0.004170557111733605,0.08601202138127753,0.25437597812760804,False
262,V5_S_amp,-0.0006535947712418314,-0.004761904761904778,0.004108309990662947,0.009040054328933103,0.03989103338799052,True
10,T_angle,0.0019607843137254793,-0.0021164021164021235,0.004077186430127603,0.12101166454583175,0.35411834467096026,False
242,V3_S_amp,-0.00457516339869282,-0.0005291005291005309,-0.004046062869592289,0.017784844659381852,0.07491192144406295,False
172,DII_S_amp,-0.007189542483660146,-0.0031746031746031854,-0.004014939309056961,0.0632206098235907,0.2092301134637883,False
191,AVR_R_amp,0.0,0.003703703703703683,-0.003703703703703683,0.032294168508648684,0.12644758937189202,False
29,DII_S_wid,-0.00457516339869282,-0.0010582010582010617,-0.0035169623404917583,0.045605929922679575,0.15652405578401138,False
225,V1_P_amp,-0.007189542483660146,-0.010582010582010614,0.0033924680983504684,0.1878524377713757,0.5021440163504081,False
221,V1_R_amp,-0.0019607843137254945,-0.005291005291005309,0.0033302209772798144,0.06483276528107174,0.21204127938985814,False
185,DIII_P_amp,-0.0032679738562091574,0.0,-0.0032679738562091574,0.0573072855932361,0.19194488427614018,False
245,V3_P_amp,0.0,-0.0026455026455026545,0.0026455026455026545,0.0226083793967926,0.09242837459276976,False
136,V5_R_wid,0.0,-0.0026455026455026545,0.0026455026455026545,0.022608379396792604,0.09242837459276976,False
179,DIII_JJ_amp,0.0,-0.002645502645502651,0.002645502645502651,0.0573072855932359,0.19194488427614018,False
