feature_idx,feature_name,male_max_r,male_mean_r,male_n_diseases,female_max_r,female_mean_r,female_n_diseases,abs_diff_max_r,abs_diff_mean_r,male_only,female_only,significant
58,AVR_Diph_R,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
267,V5_QRSA,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
59,AVR_Rag_P,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
269,V6_JJ_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
61,AVR_Rag_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
271,V6_R_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
272,V6_S_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
273,V6_Rp_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
274,V6_Sp_amp,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
62,AVR_Diph_T,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
63,AVL_Q_wid,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
277,V6_QRSA,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
6,QT_int,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
5,PR_int,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
8,P_int,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,False,False,False
